Team Name,Abbreviation,Color,Elo,City,Latitude,Longitude
Arizona Cardinals,ARI,#97233F,1410.45,Arizona,33.5276,-112.2626
Atlanta Falcons,ATL,#A71930,1440.77,Atlanta,33.7554,-84.4009
Baltimore Ravens,BAL,#241773,1640.94,Baltimore,39.2779,-76.6227
Buffalo Bills,BUF,#00338D,1630.96,Buffalo,42.7738,-78.7868
Carolina Panthers,CAR,#0085CA,1347.92,Carolina,35.2258,-80.8528
Chicago Bears,CHI,#0B162A,1483.61,Chicago,41.8623,-87.6167
Cincinnati Bengals,CIN,#FB4F14,1564.78,Cincinnati,39.0954,-84.5161
Cleveland Browns,CLE,#311D00,1513.9,Cleveland,41.5061,-81.6995
Dallas Cowboys,DAL,#041E42,1576.91,Dallas,32.7473,-97.0945
Denver Broncos,DEN,#FB4F14,1514.92,Denver,39.7439,-105.0201
Detroit Lions,DET,#0076B6,1587.4,Detroit,42.339,-83.0456
Green Bay Packers,GB,#203731,1562.1,Green Bay,44.5013,-88.0622
Houston Texans,HOU,#A71930,1505.47,Houston,29.6847,-95.4107
Indianapolis Colts,IND,#002C5F,1464.46,Indianapolis,39.7601,-86.1639
Jacksonville Jaguars,JAX,#006778,1499.02,Jacksonville,30.3239,-81.6373
Kansas City Chiefs,KC,#E31837,1657.25,Kansas City,39.049,-94.4839
Las Vegas Raiders,LV,#A5ACAF,1529.76,Las Vegas,36.0909,-115.183
Los Angeles Chargers,LAC,#0073CF,1465.07,Los Angeles,33.9535,-118.3392
Los Angeles Rams,LAR,#003594,1520.97,Los Angeles,33.9535,-118.3392
Miami Dolphins,MIA,#008E97,1565.82,Miami,25.958,-80.2389
Minnesota Vikings,MIN,#4F2683,1490.87,Minnesota,44.9736,-93.2575
New England Patriots,NE,#002244,1424.77,New England,42.0909,-71.2643
New Orleans Saints,NO,#D3BC8D,1522.42,New Orleans,29.9511,-90.0812
New York Giants,NYG,#0B2265,1466.45,New York,40.8135,-74.0745
New York Jets,NYJ,#125740,1487.55,New York,40.8135,-74.0745
Philadelphia Eagles,PHI,#004C54,1520.88,Philadelphia,39.9008,-75.1675
Pittsburgh Steelers,PIT,#FFB81C,1535.81,Pittsburgh,40.4468,-80.0158
San Francisco 49ers,SF,#AA0000,1645.53,San Francisco,37.403,-121.9702
Seattle Seahawks,SEA,#002244,1506.86,Seattle,47.5952,-122.3316
Tampa Bay Buccaneers,TB,#D50A0A,1520.89,Tampa Bay,27.9759,-82.5033
Tennessee Titans,TEN,#0C2340,1440.07,Tennessee,36.1664,-86.7713
Washington Commanders,WSH,#5A1414,1386.67,Washington,38.9078,-76.8645
